case,operation,source statement,source line,target label,target statement,target line,context,expected materializer,why absent,mechanism,rule
03,2edbd8cc50b489bcefe438b517151eed,statement:222,394,9f4ec0c211796c51a1c333fd540e801f,statement:223,397,13:statement:158,PartialProgramAssembler.append / activation 13:statement:158 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,15f782d5708896bc1b3de07fa86a8fe9,statement:215,373,b37ec9c7595c1062b21af377983a9cb9,statement:216,375,13:statement:158,PartialProgramAssembler.append / activation 13:statement:158 / statement:216,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,af152f7c707edd4f54289f391505431a,statement:229,416,d26eb1534707abda0ae4a3f3e4f0822d,statement:230,418,13:statement:155,PartialProgramAssembler.append / activation 13:statement:155 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,24882b6d5f8537177bd595decd7352df,statement:222,394,0b05ba8c3e59f85bab40fa1e5c6b0750,statement:223,397,13:statement:155,PartialProgramAssembler.append / activation 13:statement:155 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,c4000b1fb565e48f9a98172450a2f94c,statement:215,373,593e0b9b747cc3f37d0c5c26e9f55290,statement:216,375,13:statement:155,PartialProgramAssembler.append / activation 13:statement:155 / statement:216,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,7c55bdb351fea4ee55a79628b6fdc36e,statement:229,416,3ddd055b37876f58ad8bf8fbbaa0ef4f,statement:230,418,13:statement:153,PartialProgramAssembler.append / activation 13:statement:153 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,85cce01ef94dcfe329e65d6d4e538cbf,statement:222,394,d394d4c8a02fd9507df46105440675e6,statement:223,397,13:statement:153,PartialProgramAssembler.append / activation 13:statement:153 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,639314ddfb08a8cc15a0dba849704410,statement:215,373,f2b58186ce0881463a904086ea785606,statement:216,375,13:statement:153,PartialProgramAssembler.append / activation 13:statement:153 / statement:216,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,8e0f1a9fe3faf420518bed12a224561a,statement:229,416,aa8ce7bc1f062490a8990f531c2af8d2,statement:230,418,13:statement:152,PartialProgramAssembler.append / activation 13:statement:152 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,60b9152ec9d662952020fa9e6a8d0fcc,statement:222,394,3159ef15b3254168e8113ce495dd5d63,statement:223,397,13:statement:152,PartialProgramAssembler.append / activation 13:statement:152 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,96d7d015e338ac113fb300941785a2e1,statement:215,373,e219d754e4ca302fdee55537b26d2fb1,statement:216,375,13:statement:152,PartialProgramAssembler.append / activation 13:statement:152 / statement:216,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,3acf9535d195c951d788494f28e58eaf,statement:229,416,eadb2b5a349ae127934f9020c2109c62,statement:230,418,13:statement:151,PartialProgramAssembler.append / activation 13:statement:151 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,879d77e2a0835ca06f592065ee1cead6,statement:222,394,07adaf1a679bc76675889e80a37529de,statement:223,397,13:statement:151,PartialProgramAssembler.append / activation 13:statement:151 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,6a297527686ce14b8d2f80c4a4fe9c33,statement:215,373,5023a5bef3fabb9aab791fa173bef4d3,statement:216,375,13:statement:151,PartialProgramAssembler.append / activation 13:statement:151 / statement:216,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,38d72efe334f3ecee020cdd0612525e3,statement:229,416,0190636c20551ed137bf7203ecd878a1,statement:230,418,13:statement:150,PartialProgramAssembler.append / activation 13:statement:150 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,64f37ed34cac792c995b266ef21c19c5,statement:222,394,a82dd5e722019b606f9a32bf563db80c,statement:223,397,13:statement:150,PartialProgramAssembler.append / activation 13:statement:150 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,be03269d4ddc7f29e9d78b0a0b24c097,statement:215,373,607bfbfdc15f37172814639ecd0871ac,statement:216,375,13:statement:150,PartialProgramAssembler.append / activation 13:statement:150 / statement:216,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,fab76ca2359d72866df2ebdacd10bd20,statement:229,416,9df156f4b87cffa542d8ff39e696e0f8,statement:230,418,13:statement:149,PartialProgramAssembler.append / activation 13:statement:149 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,62c32770f34da599c284c723239f1be3,statement:222,394,5c29b69085b1616a3409b0367bead3b1,statement:223,397,13:statement:149,PartialProgramAssembler.append / activation 13:statement:149 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,5ce37906891376890d0015e5c736758e,statement:215,373,54105d4fe745a71129634a896a80438d,statement:216,375,13:statement:149,PartialProgramAssembler.append / activation 13:statement:149 / statement:216,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,0e9caae8e38b68f40418f6847d8089a5,statement:229,416,05932291e1250b9b0945495330a35ec6,statement:230,418,13:statement:164,PartialProgramAssembler.append / activation 13:statement:164 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,2c6b21416550a122cea65bf40a4e3fd4,statement:222,394,d120dcd594ccea9605884de7c0cf9c70,statement:223,397,13:statement:164,PartialProgramAssembler.append / activation 13:statement:164 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,38ff1d30ee08aacb7c6fb81cf2347550,statement:215,373,481843606a7719ddf792208873d3fc09,statement:216,375,13:statement:164,PartialProgramAssembler.append / activation 13:statement:164 / statement:216,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,57eb5df10393930932631eafc6ec09b1,statement:229,416,8a8da127f2bc8b88b119228436e9a26c,statement:230,418,13:statement:161,PartialProgramAssembler.append / activation 13:statement:161 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,c85ca604851af33aa6c9f3bf7eb5e8d4,statement:229,416,cac3a110f94f0f995c52777c0cdebace,statement:230,418,13:statement:160,PartialProgramAssembler.append / activation 13:statement:160 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,c471368e8b0f10a900c7ade9c4693c75,statement:222,394,ba7d20f2cff8abd9a297e63710c642ec,statement:223,397,13:statement:160,PartialProgramAssembler.append / activation 13:statement:160 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,61ad413c97b8d0b22254956db503451d,statement:229,416,818ab98c97bf7699fd4dadfe55e306cd,statement:230,418,13:statement:159,PartialProgramAssembler.append / activation 13:statement:159 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,49a9791646cc9373c861ff7818de616b,statement:222,394,79f1ea7e199db75acfb335a4e9265411,statement:223,397,13:statement:159,PartialProgramAssembler.append / activation 13:statement:159 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,77518e9365b42630467d27e399154f42,statement:215,373,609d0ea2ac7913ee2d1d269136bfb6a5,statement:216,375,13:statement:159,PartialProgramAssembler.append / activation 13:statement:159 / statement:216,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,ff975a03c07203a2146846290ee7f4e4,statement:229,416,af2404b2bceb80185f9a0bacd6eeecfa,statement:230,418,13:statement:158,PartialProgramAssembler.append / activation 13:statement:158 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,2edbd8cc50b489bcefe438b517151eed,statement:222,394,9f4ec0c211796c51a1c333fd540e801f,statement:223,397,13:statement:158,PartialProgramAssembler.append / activation 13:statement:158 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,15f782d5708896bc1b3de07fa86a8fe9,statement:215,373,b37ec9c7595c1062b21af377983a9cb9,statement:216,375,13:statement:158,PartialProgramAssembler.append / activation 13:statement:158 / statement:216,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,af152f7c707edd4f54289f391505431a,statement:229,416,d26eb1534707abda0ae4a3f3e4f0822d,statement:230,418,13:statement:155,PartialProgramAssembler.append / activation 13:statement:155 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,24882b6d5f8537177bd595decd7352df,statement:222,394,0b05ba8c3e59f85bab40fa1e5c6b0750,statement:223,397,13:statement:155,PartialProgramAssembler.append / activation 13:statement:155 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,c4000b1fb565e48f9a98172450a2f94c,statement:215,373,593e0b9b747cc3f37d0c5c26e9f55290,statement:216,375,13:statement:155,PartialProgramAssembler.append / activation 13:statement:155 / statement:216,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,7c55bdb351fea4ee55a79628b6fdc36e,statement:229,416,3ddd055b37876f58ad8bf8fbbaa0ef4f,statement:230,418,13:statement:153,PartialProgramAssembler.append / activation 13:statement:153 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,85cce01ef94dcfe329e65d6d4e538cbf,statement:222,394,d394d4c8a02fd9507df46105440675e6,statement:223,397,13:statement:153,PartialProgramAssembler.append / activation 13:statement:153 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,639314ddfb08a8cc15a0dba849704410,statement:215,373,f2b58186ce0881463a904086ea785606,statement:216,375,13:statement:153,PartialProgramAssembler.append / activation 13:statement:153 / statement:216,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,8e0f1a9fe3faf420518bed12a224561a,statement:229,416,aa8ce7bc1f062490a8990f531c2af8d2,statement:230,418,13:statement:152,PartialProgramAssembler.append / activation 13:statement:152 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,60b9152ec9d662952020fa9e6a8d0fcc,statement:222,394,3159ef15b3254168e8113ce495dd5d63,statement:223,397,13:statement:152,PartialProgramAssembler.append / activation 13:statement:152 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,96d7d015e338ac113fb300941785a2e1,statement:215,373,e219d754e4ca302fdee55537b26d2fb1,statement:216,375,13:statement:152,PartialProgramAssembler.append / activation 13:statement:152 / statement:216,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,3acf9535d195c951d788494f28e58eaf,statement:229,416,eadb2b5a349ae127934f9020c2109c62,statement:230,418,13:statement:151,PartialProgramAssembler.append / activation 13:statement:151 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,879d77e2a0835ca06f592065ee1cead6,statement:222,394,07adaf1a679bc76675889e80a37529de,statement:223,397,13:statement:151,PartialProgramAssembler.append / activation 13:statement:151 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,6a297527686ce14b8d2f80c4a4fe9c33,statement:215,373,5023a5bef3fabb9aab791fa173bef4d3,statement:216,375,13:statement:151,PartialProgramAssembler.append / activation 13:statement:151 / statement:216,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,38d72efe334f3ecee020cdd0612525e3,statement:229,416,0190636c20551ed137bf7203ecd878a1,statement:230,418,13:statement:150,PartialProgramAssembler.append / activation 13:statement:150 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,64f37ed34cac792c995b266ef21c19c5,statement:222,394,a82dd5e722019b606f9a32bf563db80c,statement:223,397,13:statement:150,PartialProgramAssembler.append / activation 13:statement:150 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,be03269d4ddc7f29e9d78b0a0b24c097,statement:215,373,607bfbfdc15f37172814639ecd0871ac,statement:216,375,13:statement:150,PartialProgramAssembler.append / activation 13:statement:150 / statement:216,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,fab76ca2359d72866df2ebdacd10bd20,statement:229,416,9df156f4b87cffa542d8ff39e696e0f8,statement:230,418,13:statement:149,PartialProgramAssembler.append / activation 13:statement:149 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,62c32770f34da599c284c723239f1be3,statement:222,394,5c29b69085b1616a3409b0367bead3b1,statement:223,397,13:statement:149,PartialProgramAssembler.append / activation 13:statement:149 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
05,5ce37906891376890d0015e5c736758e,statement:215,373,54105d4fe745a71129634a896a80438d,statement:216,375,13:statement:149,PartialProgramAssembler.append / activation 13:statement:149 / statement:216,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
